Date,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Sprayed,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,MD,BR,HZ,RA,TSRA,VCTS,FU,TS,DZ,BCFG,FG+,MIFG,FG,SQ,SN,VCFG,GR
2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,4,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,2,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.654491,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,2,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T049,41.896282,-87.655232,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,2,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,3,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,1,0,0,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,4.35,19.283333333333335,0.0,0.0,0.0,29.415,30.1,5.8,17.0,6.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
